$ ./calculate_ds5.py vertex-5/list_31_graphs.mat > vertex-5-results.txt

graph	d	edges	boost:	0	1	2	3	||	0	1	2	3
----------------------------------------------------------------
1	5	8		-6	-34	-62	-90		0	186	3168	18702
2	5	2		0	0	0	0		0	80	1920	12960
3	5	8		4	21	38	55		0	133	2664	16551
4	5	16		16	28	40	52		-18	12	3402	21624
5	5	8		0	-72	-144	-216		0	360	4200	21840
6	5	4		0	-1	-2	-3		0	53	1704	12231
7	5	6		0	0	0	0		0	214	3312	18738
8	5	12		10	25	40	55		0	257	3978	22041
9	5	16		-12	-27	-42	-57		0	532	5994	29424
10	5	0		0	0	0	0		0	40	1280	9720
11	5	8		0	44	88	132		0	160	2880	17280
12	5	10		-4	-12	-20	-28		0	240	3600	20160
13	5	10		2	5	8	11		0	293	4104	22311
14	5	12		0	24	48	72		0	320	4320	23040
15	5	14		-24	-60	-96	-132		0	640	6480	30720
16	5	8		-2	-5	-8	-11		0	16	1998	14580
17	5	10		0	2	4	6		0	60	2592	17190
18	5	10		14	49	84	119		-8	-208	1018	11980
19	5	12		0	-1	-2	-3		0	581	5868	27711
20	5	14		-6	-24	-42	-60		0	534	5724	27852
21	5	14		14	42	70	98		-20	-150	2320	17782
22	5	18		-4	-10	-16	-22		0	424	5508	28128
23	5	20		-4	-9	-14	-19		-54	100	4536	25968
24	5	4		0	0	0	0		0	120	2400	15120
25	5	6		0	-18	-36	-54		0	200	3120	18000
26	5	6		0	-4	-8	-12		0	66	1968	13662
27	5	12		-12	-41	-70	-99		0	184	3546	20760
28	5	10		-8	-60	-112	-164		0	400	4680	24000
29	5	12		-10	-54	-98	-142		0	480	5400	26880
30	5	14		-4	-25	-46	-67		0	318	4590	24612
31	5	12		16	60	104	148		0	77	2970	19071
32	5	12		16	60	104	148		0	78	2790	17892
33	5	12		16	60	104	148		-14	-205	1192	12649
34	5	12		16	60	104	148		-8	-190	1216	12682
35	5	12		16	60	104	148		-10	-112	1934	15560
36	5	12		4	8	12	16		0	77	2970	19071


results: [-72, -60, -60, -54, -41, -34, -27, -25, -24, -18, -12, -10, -9, -5, -4, -1, -1, 0, 0, 0, 0, 2, 5, 8, 21, 24, 25, 28, 42, 44, 49, 60, 60, 60, 60, 60]
